hprodid,hprodname,genname,gencode,saltdesc,saltcode,formdesc,formcode,stredesc,strecode,unitdesc,unitcode,edl,pndf_classification,status,pprice,sprice,packcode,packdesc,mdrprice,mdrp_dateasof,price_indicator
09SOD0000000000SOL3200247BOTTL,0.9% SODIUM CHLORIDE SOLUTION 1 L BOTTLE,0.9% SODIUM CHLORIDE,09SOD,,0,SOLUTION,SOL32,,0,1 L,247,,,,,,BOTTL,BOTTLE,,,
09SOD0000000000SOL3200195AMPUL,0.9% SODIUM CHLORIDE SOLUTION 10 mL AMPULE,0.9% SODIUM CHLORIDE,09SOD,,0,SOLUTION,SOL32,,0,10 mL,195,,,,,,AMPUL,AMPULE,,,
09SOD0000000000SOL3200178BOTTL,0.9% SODIUM CHLORIDE SOLUTION 100 mL BOTTLE,0.9% SODIUM CHLORIDE,09SOD,,0,SOLUTION,SOL32,,0,100 mL,178,,,,,,BOTTL,BOTTLE,,,
09SOD0000000000SOL3200361AMPUL,0.9% SODIUM CHLORIDE SOLUTION 2 mL AMPULE,0.9% SODIUM CHLORIDE,09SOD,,0,SOLUTION,SOL32,,0,2 mL,361,,,,,,AMPUL,AMPULE,,,
09SOD0000000000SOL3201124AMPUL,0.9% SODIUM CHLORIDE SOLUTION 2.5 mL AMPULE,0.9% SODIUM CHLORIDE,09SOD,,0,SOLUTION,SOL32,,0,2.5 mL,1124,,,,,,AMPUL,AMPULE,,,
09SOD0000000000SOL3200011AMPUL,0.9% SODIUM CHLORIDE SOLUTION 20 mL AMPULE,0.9% SODIUM CHLORIDE,09SOD,,0,SOLUTION,SOL32,,0,20 mL,11,,,,,,AMPUL,AMPULE,,,
09SOD0000000000SOL3201125BOTTL,0.9% SODIUM CHLORIDE SOLUTION 200 mL BOTTLE,0.9% SODIUM CHLORIDE,09SOD,,0,SOLUTION,SOL32,,0,200 mL,1125,,,,,,BOTTL,BOTTLE,,,
09SOD0000000000SOL3200020BOTTL,0.9% SODIUM CHLORIDE SOLUTION 250 mL BOTTLE,0.9% SODIUM CHLORIDE,09SOD,,0,SOLUTION,SOL32,,0,250 mL,20,,,,,,BOTTL,BOTTLE,,,
09SOD0000000000SOL3200060AMPUL,0.9% SODIUM CHLORIDE SOLUTION 5 mL AMPULE,0.9% SODIUM CHLORIDE,09SOD,,0,SOLUTION,SOL32,,0,5 mL,60,,,,,,AMPUL,AMPULE,,,
09SOD0000000000SOL3200055BOTTL,0.9% SODIUM CHLORIDE SOLUTION 50 mL BOTTLE,0.9% SODIUM CHLORIDE,09SOD,,0,SOLUTION,SOL32,,0,50 mL,55,,,,,,BOTTL,BOTTLE,,,
09SOD0000000000SOL3200044BOTTL,0.9% SODIUM CHLORIDE SOLUTION 500 mL BOTTLE,0.9% SODIUM CHLORIDE,09SOD,,0,SOLUTION,SOL32,,0,500 mL,44,,,,,,BOTTL,BOTTLE,,,
